toi,pl_rade,pl_orbper,pl_trandurh,pl_trandeplim
1186.01,17.6677,11.2464616,7.391,0
1187.01,4.47229,2.5941968,0.861,0
119.01,2.04482,5.5411114,2.467,0
119.02,1.79811,10.6917268,3.002,0
1190.01,14.1288,3.6950015,4.515,0
1191.01,24.3218,15.7335693,3.288,0
1192.01,28.3312,45.9403293,3.768,0
1193.01,15.4416,2.2219839,1.996,0
1194.01,8.76741,2.3106428,1.294,0
1195.01,14.2359,4.05135,2.4,0
1196.01,15.6557,5.5376617,2.517,0
1197.01,16.2166,4.5960377,4.744,0
1198.01,19.3662,3.612771,4.142,0
1199.01,10.678,3.6714717,2.149,0
120.01,12.215808,11.535076,8.555958,0
1200.01,6.4875,0.8352406,1.043,0
1201.01,2.2187585,2.4919771,1.4338141,0
1203.01,2.9641461,25.5195307,6.6877451,0
1204.01,2.2402361,1.3812115,2.7372191,0
1205.01,3.5905923,2.3922703,9.0053425,0
1206.01,1.881684,0.831542,1.985538,0
1207.01,0.9817044,2.6282553,2.0930597,0
1208.01,1.7581475,3.4239436,1.9601023,0
1208.02,2.5070075,10.983042,3.7478987,0
1208.03,2.261664,17.726449,3.4404719,0
1209.01,3.2352713,40.7199388,4.2436925,0
121.01,15.3936,14.7741056,5.504,0
1210.01,2.17454,79.3739596,5.392,0
1211.01,2.80447,18.1663644,2.464,0
1212.01,2.5033335,105.5850893,11.6068811,0
1213.01,8.3475973,27.2149622,3.7190483,0
1214.01,2.4311768,19.1807264,3.9621084,0
1215.01,0.879419,1.2124493,0.9984653,0
1216.01,0.8887417,4.5541831,7.8146963,0
1217.01,12.5121956,41.4856125,6.6899368,0
1218.01,1.8971927,13.7738265,2.9992376,0
1219.01,2.04421,1.9142544,3.256,0
122.01,2.6347763,5.0780325,1.2100353,0
1220.01,8.2807306,70.3607265,1.0325441,0
1221.01,3.239855,91.6827832,9.7504857,0
1222.01,2.7392825,10.1944993,2.2648785,0
1223.01,3.41248,14.64319,2.5483426,0
1224.01,2.1023854,4.1782656,1.675904,0
1224.02,3.3839124,17.9453645,3.0740072,0
1225.01,2.4586343,13.896396,3.5885605,0
1225.02,2.3157186,8.1213102,3.1040945,0
1226.01,2.329279,3.9287851,1.8165271,0
1227.01,6.4522449,27.3613778,4.0586418,0
1228.01,2.84674,29.0497517,7.117,0
1229.01,21.6314984,31.8132264,11.2567164,0
